Ticket ID,Module,Mode,EDI?,TIMESTAMP,Alert / Email,Problem Statements,Solution,SOP
TCK-20251020-001935-5DC7,EDI,Monitoring,Yes,20/10/25 0:19,ALR-861600 | CMAU0000020 Duplicate container info,Two active container rows for CMAU0000020 detected (duplicate container record) causing creation/registration conflicts.,"Verify the true active container row, expire the legacy/incorrect active row by setting effective_end_datetime (ensuring transactional safety and backups), re-sync sources and clear caches, then enforce a unique-active constraint/index and add pre-insert validation to prevent reoccurrence. Run a controlled de-dup job now and add monitoring/alerts to catch future duplicates; notify Product Ops/CS and escalate to SRE if system-level replication issues are found.","Run de-dup job, verify row counts, notify CS"
TCK-20251020-003353-51F3,EDI/API,Email,Yes,20/10/25 0:33,ALR-861600 | CMAU0000020 Duplicate co,ALR-861600 | CMAU0000020 Duplicate co,KB solution appears applicable. Historical solution with SOP found. Judge AI provides high-level steps. (offline fallback),
TCK-20251020-010048-CC3A,EDI/API,Email,Yes,20/10/25 1:00,ALR-861600 | CMAU0000020 Duplicate container info,"A duplicate active container/advice record exists (example: LION_CITY_07), causing uniqueness conflicts on creation. Likely caused by replication job overlap or an unexpired legacy record and lack of enforced unique-active protection in practice.","Validate the active advice to determine whether it is a legitimate current record or a legacy duplicate. For legacy records, expire the older entry (set effective_end_datetime), re-sync caches, and re-attempt creation. For genuine conflicts, instruct the user to choose a unique identifier or merge manually. Run a controlled de-dup job, verify row counts, and enforce a unique-active database constraint or pre-create API validation to prevent future duplicates. Notify Product Ops, EDI/API and SRE teams and monitor after remediation.","If duplicates exist, expire older record and re-sync cache"
TCK-20251020-012631-51F4,EDI/API,Email,Yes,20/10/25 1:26,ALR-861600 | CMAU0000020 Duplicate container info,"Two active container/advice rows exist for the same identifier (e.g., LION_CITY_07). The system enforces a single active advice per container; duplicate active rows (caused by replication overlap / legacy data) block creation or updates and cause user-facing conflicts.","Expire the older/legacy active record so only the correct advice remains active, re-sync caches and APIs, then re-attempt the create/update. Prevent recurrence by enforcing a unique-active constraint at the database layer, run a de-duplication job to remove any remaining duplicates, fix the replication job overlap that caused the issue, and notify Product Ops/CS. Escalate to EDI/API or SRE if cache/replication problems persist.","If duplicates exist, expire older record and re-sync cache"
TCK-20251020-012721-7F6E,EDI/API,Email,Yes,20/10/25 1:26,ALR-861600 | CMAU0000020 Duplicate container info,"Duplicate active container records exist (two active rows for same container/advice), preventing creation or causing ambiguous active advice due to the system's unique-active constraint.","Expire the older duplicate record (soft-deprecate by setting effective_end_datetime) after taking a backup, then re-sync the database and cache so the system state matches the canonical record. Run a de-duplication job and enforce/repair a unique-active index to prevent recurrence. Notify Product Ops/EDI/SRE, re-attempt the operation, and monitor for further duplicates.","If duplicates exist, expire older record and re-sync cache"
TCK-20251020-013909-9E3A,EDI/API,Email,Yes,20/10/25 1:26,"RE: Email ALR-861600 | CMAU0000020 - Duplicate Container information received To: Ops Team Duty; Jen Cc: Customer Service Hi Jen, Please assist in checking container CMAU0000020. Customer on PORTNET is seeing 2 identical containers information. Thanks. Regards,Kenny",Two near-simultaneous snapshot inserts created duplicate container rows for cntr_no=CMAU0000020 (container_id 20 and 21). This caused PORTNET and downstream consumers to see identical duplicate container records.,"Consolidate the duplicate container rows by choosing a canonical record (recommended: container_id 21), update all referencing tables to point to it, archive and remove the duplicate row in a controlled transaction after taking a backup, then enforce a database uniqueness constraint on container.cntr_no and switch snapshot inserts to atomic upserts. Improve tracing/logging for snapshot operations and notify downstream consumers so they refresh caches and confirm the issue is resolved.",
TCK-20251020-014041-F00A,EDI/API,Email,Yes,20/10/25 1:26,"RE: Email ALR-861600 | CMAU0000020 - Duplicate Container information received To: Ops Team Duty; Jen Cc: Customer Service Hi Jen, Please assist in checking container CMAU0000020. Customer on PORTNET is seeing 2 identical containers information. Thanks. Regards,Kenny","Two near-simultaneous snapshot inserts created duplicate container rows for cntr_no CMAU0000020 (container_id 20 and 21). This produced two identical container records visible to PORTNET and external consumers, causing data duplication and potential downstream inconsistencies.","Consolidate the duplicate container rows by selecting a canonical record (prefer the most recent), update all foreign-key references to point to it, archive the removed duplicate for audit, and delete it inside a tested transaction after a backup. Prevent recurrence by adding a DB-level UNIQUE constraint on container.cntr_no and updating snapshot insert logic to use atomic upserts. Improve request tracing (propagate correlation_id) and notify external consumers to refresh caches; monitor post-change for any reappearance.",
TCK-20251020-110739-FC66,EDI/API,Email,Yes,20/10/25 11:07,"RE: Email ALR-861600 | CMAU0000020 - Duplicate Container information received
To: Ops Team Duty; Jen
Cc: Customer Service
Hi Jen,
Please assist in checking container CMAU0000020. Customer on PORTNET is seeing 2
identical containers information.
Thanks.
Regards,
Kenny",PORTNET is displaying duplicate container information for CMAU0000020 because two near-identical container rows were created in the database (race condition / duplicate snapshot). This caused duplicate consumer output and a potential last-writer-wins regression.,"Immediate remediation: verify and back up all container rows for CMAU0000020, select the canonical container record (usually the latest created_at), update all referencing tables to point to that canonical container_id, then remove the duplicate row(s) in a safe transaction. After cleanup, re-run verification queries and republish or clear caches so PORTNET reflects the single correct record. Prevent recurrence by adding a uniqueness constraint (after duplicates are consolidated) and changing ingestion to use idempotent upsert or transactional locking; add monitoring for DuplicateSnapshotAttempt events.",
TCK-20251020-124953-9025,EDI/API,Email,Yes,20/10/25 12:49,"RE: Email ALR-861600 | CMAU0000020 - Duplicate Container information received
To: Ops Team Duty; Jen
Cc: Customer Service
Hi Jen,
Please assist in checking container CMAU0000020. Customer on PORTNET is seeing 2
identical containers information.
Thanks.
Regards,
Kenny",PORTNET shows two identical entries for container CMAU0000020 caused by duplicate container rows in the database (two container_id records created within one second).,"Take a safe, auditable approach: backup the affected data and export audit rows, lock the container to prevent further changes, then attempt non-destructive remediation using the platform's duplicate-message de-duplication and event replay (ordered by event_time). If that fails, coordinate with DB/Platform to choose the authoritative row, reassign foreign-keyed references to it, and delete the orphaned row inside a transaction. Finally, invalidate caches/republish the canonical state, capture before/after evidence, and implement preventive measures (source-message idempotency keys or a uniqueness constraint and monitoring) to avoid recurrence.",
TCK-20251020-140939-254,Container,Email,No,20/10/2025 14:09,"RE: Email ALR-861600 | CMAU0000020 - Duplicate Container information received
To: Ops Team Duty; Jen
Cc: Customer Service
Hi Jen,
Please assist in checking container CMAU0000020. Customer on PORTNET is seeing 2
identical containers information.
Thanks.
Regards,
Kenny",Customer reports two identical entries for container CMAU0000020 visible on PORTNET (duplicate container information shown).,"Investigate and confirm the duplicate by reproducing and collecting evidence; trace the source by inspecting EDI/API and message-queue logs and backend database records to determine whether duplication occurred at ingestion, storage, or presentation. Remediate by safely deduplicating the canonical record in the datastore or correcting the UI/cache behavior, hardening idempotency and uniqueness checks to prevent recurrence, and escalate to EDI/API and Infra/SRE teams if system or partner message ","Initial automated analysis failed (LLM 429 token limit). Probable technical causes: duplicate ingestion of the same container message from upstream (EDI/API) or message queue, database-level duplicate"
TCK-20251020-141837-119,Unknown,Email,No,20/10/2025 14:18,ALR-861600 | CMAU0000020 - Duplicate Co,Duplicate,Judge AI provides high-level steps.,Pending verification (offline fallback)
TCK-20251020-144348-559,Container,Email,No,10/20/2025 14:43:21,"RE: Email ALR-861600 | CMAU0000020 - Duplicate Container information received
To: Ops Team Duty; Jen
Cc: Customer Service
Hi Jen,
Please assist in checking container CMAU0000020. Customer on PORTNET is seeing 2 identical containers information.
Thanks.
Regards,
Kenny",PORTNET shows two identical container records for CMAU0000020 because two container snapshot rows were persisted for the same container number (container_id 20 and 21).,"Remove the extra container row and repair references so only one canonical container record exists, then prevent recurrence by adding a database uniqueness guard (e.g., snapshot_hash + unique index) and strengthening the application insertion path to use upsert or row-level/advisory locking. Backfill hashes for existing rows, update foreign keys to the canonical container_id, verify with targeted queries, and add monitoring to detect any future duplicate-insert attempts.",A race condition in the container snapshot flow allowed two concurrent snapshot inserts for the same container to be persisted. There is no application-enforced de-duplication or a database uniqueness
TCK-20251020-145604-478,Container,Email,No,10/20/2025 14:55:39,RE: Email ALR-861600 | CMAU0000020 - Duplicate Container information received. Customer on PORTNET sees two identical container records for CMAU0000020. Please investigate.,PORTNET displayed two identical container records for CMAU0000020 because two master container rows were created for the same container number.,"Remediate by consolidating the duplicate container records into a single canonical record and updating all referencing tables, then prevent recurrence by enforcing a DB-level unique constraint on container.cntr_no and updating the snapshot insertion logic to use an atomic upsert or idempotent pattern. After remediation, verify references, deploy code fix, add monitoring for duplicate-insert warnings, and notify stakeholders. Take backups and perform changes inside transactions to preserve integr",Concurrent snapshot insertion allowed two container master rows to be created for CNTR no. CMAU0000020 (container_id 20 and 21). The snapshot/insert flow lacked an atomic upsert and the DB had no uniq
TCK-20251020-154435-926,Container,Email,No,10/20/2025 15:44:01,"RE: Email ALR-861600 | CMAU0000020 - Duplicate Container information received
To: Ops Team Duty; Jen
Cc: Customer Service
Hi Jen,
Please assist in checking container CMAU0000020. Customer on PORTNET is seeing 2 identical containers information.
Thanks.
Regards,
Kenny","PORTNET displays duplicate container CMAU0000020 because two snapshot rows were created for the same container (container_id 20 and 21) and an update event was published, causing downstream duplication.","Perform a controlled data cleanup to remove the duplicate row and reassign any dependent records, then enforce uniqueness at the database level and fix the snapshot insert path to use atomic upserts or transactional locks. Also change event-publishing logic so no CONTAINER_UPDATED events are emitted when an attempted duplicate insert produced no authoritative change. Coordinate with downstream teams (PORTNET/EDI) to refresh and verify the resolved state and run verification queries to prove sing",Two near-concurrent snapshot insert operations for the same cntr_no resulted in two rows (container_id 20 and 21). The system logged a DuplicateSnapshotAttempt but did not prevent the second persisted
TCK-20251020-161107-623,Container,Email,No,10/20/2025 16:10:29,"RE: Email ALR-861600 | CMAU0000020 - Duplicate Container information received
Please assist in checking container CMAU0000020. Customer on PORTNET is seeing 2 identical container entries.","PORTNET shows two identical entries for container CMAU0000020. Investigation found two DB rows for the same container (container_id 20 and 21) created seconds apart. Duplicate snapshot insertion / race condition in the ingestion pipeline allowed a second master row to be created, producing the duplicate view.","Perform a safe, auditable cleanup and reconciliation: (1) capture logical backups and confirm both container rows and all referencing records; (2) select the canonical container row (usually the one referenced by api_event/edi_message and/or the latest timestamp); (3) update all FK references to point to the canonical row and mark the duplicate as deprecated (or remove it) inside a transaction; (4) invalidate portal cache and republish the canonical event so PORTNET shows a single entry; (5) pre",A near-simultaneous FetchLatestSnapshot -> InsertSnapshot sequence caused a DuplicateSnapshotAttempt; the application logged a WARN but the database allowed a second row to be created (no effective un
TCK-20251020-163005-482,Container,Email,No,10/20/2025 16:10:29,"RE: Email ALR-861600 | CMAU0000020 - Duplicate Container information received
Please assist in checking container CMAU0000020. Customer on PORTNET is seeing 2 identical containers information.",PORTNET shows two identical container records for CMAU0000020 caused by duplicate container master rows in the DB.,"Safely remove the duplicate database row and restore a single authoritative container record in TOS, then synchronize PORTNET and downstream systems. Steps: export/backup all affected rows; identify the canonical container_id (based on references and timestamps); update foreign-key references to point to the canonical id in a transaction; soft-deprecate or delete the duplicate row; republish the canonical container event and invalidate/refresh portal cache; finally add DB-level uniqueness (or at",A duplicate snapshot insertion/race in the container-repo flow created two container master rows for CMAU0000020 (container_id 20 and 21) one second apart. The application logged 'DuplicateSnapshotAtt
